text,label
"Я сегодня не ем, хочу быть идеальной #proana",proED
"Сегодня сделал здоровый салат и пошёл гулять",neutral
"Восстанавливаюсь после переедания, не сдаюсь",recovery
"3-дневный #fastingchallenge — начинаем!",proED
"Люблю своё тело и ем без чувства вины",recovery
"Снова пропускаю ужин, чувствую себя лучше",proED
"Сегодня на тренировке улучшил время на 5 минут",neutral
"Отдыхаю и позволяю себе быть неидеальной",recovery
"Хочу похудеть любой ценой #thinspo",proED
"Ем нормально и чувствую энергию",recovery
